term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
Non-alcoholic fatty liver disease (NAFLD),KEGG_2019_Mouse,0.2953343413921343,0.8673105497237563,0.6640926640926641,0.879566401106871,5/17,8.62%,Bid;Tgfb1;Bax;Cyct;Cox5b
Human papillomavirus infection,KEGG_2019_Mouse,0.2122019919160047,0.8198118476249647,0.8452380952380952,0.8880811357386558,7/57,7.22%,Ppp2ca;Ube3a;Rheb;Bax;Atp6v1f;Atp6v1d;Atp6v1b2
positive regulation of macromolecule biosynthetic process (GO:0010557),GO_Biological_Process_2021,0.23878599778720055,0.803818312636055,0.8052631578947368,0.899479294518459,7/31,14.09%,Ccl2;Piwil2;Plxnb2;Hsph1;Fxr1;Igf2;Tgfb2
intracellular protein transport (GO:0006886),GO_Biological_Process_2021,0.20125066600844407,0.8097942574024258,0.865546218487395,0.9002354890540268,12/66,11.20%,Rab5c;Tgfb1;Ift22;Arl1;Copz1;Ap3d1;Ehd1;Arf1;Ywhah;Rab21;Snx6;Ranbp3
Human immunodeficiency virus 1 infection,KEGG_2019_Mouse,0.23180284885381242,0.8061823441633691,0.82,0.9012535880511814,5/30,7.38%,Bid;Gng12;Bax;Ap1s1;Cyct
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),GO_Biological_Process_2021,0.23638156656444587,0.783765641252885,0.861244019138756,0.9160566500514281,6/30,9.80%,Canx;Dctn3;Actr1a;Ap1s1;Arf1;Ap2s1
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),GO_Biological_Process_2021,0.23638156656444587,0.783765641252885,0.861244019138756,0.9160566500514281,6/30,9.80%,Canx;Dctn3;Actr1a;Ap1s1;Arf1;Ap2s1
antigen processing and presentation of exogenous peptide antigen (GO:0002478),GO_Biological_Process_2021,0.23638156656444587,0.783765641252885,0.861244019138756,0.9160566500514281,6/30,9.80%,Canx;Dctn3;Actr1a;Ap1s1;Arf1;Ap2s1
proteolysis involved in cellular protein catabolic process (GO:0051603),GO_Biological_Process_2021,0.2516182341035137,0.7785399758014803,0.8273092369477911,0.9185693164302116,6/22,18.11%,Nedd8;Prpf19;Psma6;Psma8;Rps27a;Ctsh
regulation of substrate adhesion-dependent cell spreading (GO:1900024),GO_Biological_Process_2021,0.25283246845356233,0.7736004057167102,0.8680851063829788,0.9198949359766108,5/19,14.14%,S100a10;Fga;Fgb;Rac1;C1qbp
