accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
Q6NV83,U2surp,control_only,,,9447600.0,8261100.0
Q6NVF9,Cpsf6,control_only,,,12183000.0,0.0
Q6NXN1,Szrd1,treated_only,5532200.0,0.0,,
Q6P2B1,Tnpo3,treated_only,85936000.0,14079000.0,,
Q6P2B1;Q8K368,Tnpo3;Fanci,control_only,,,18696000.0,7575800.0
Q6P542,Abcf1,control_only,,,198480000.0,1094200000.0
Q6P8I4,Pcnp,treated_only,52191000.0,78321000.0,,
Q6P8M1,Tatdn1,treated_only,63781000.0,50244000.0,,
Q6PB93,Galnt2,treated_only,139860000.0,284230000.0,,
Q6PCX7,Rgma,control_only,,,30297000.0,6840000.0
Q6PDQ2,Chd4,treated_only,17247000.0,29753000.0,,
Q6PE55,Pdgfrl,treated_only,0.0,142600000.0,,
Q6PFD6,Kif18b,treated_only,384260000.0,23616000.0,,
Q6PFD9,Nup98,treated_only,10819000.0,12080000.0,,
Q6Q899,Ddx58,treated_only,59059000.0,0.0,,
Q6URW6,Myh14,treated_only,98102000.0,20676000.0,,
Q6ZQ58,Larp1,treated_only,12490000.0,6422700.0,,
Q6ZQ73,Cand2,control_only,,,0.0,27876000.0
Q6ZWY8,Tmsb10,control_only,,,139120000.0,77362000.0
Q7TMY8,Huwe1,treated_only,24786000.0,2260000.0,,
Q7TNC4,Luc7l2,control_only,,,19995000.0,8018900.0
Q7TQ33,Rgmb,treated_only,39164000.0,19152000.0,,
Q7TSF0;Q61495;Q7TSF1,Dsg1c;Dsg1a;Dsg1b,treated_only,72049000.0,7722600.0,,
Q7TSK7,Adamtsl2,treated_only,0.0,16245000.0,,
Q7TSU7,Kirrel2,treated_only,296740000.0,146630000.0,,
Q7TT50,Cdc42bpb,control_only,,,0.0,2236800.0
Q80SY6,Adal,treated_only,15350000.0,0.0,,
Q80SZ7,Gng5,treated_only,5557600.0,9903500.0,,
Q80TL7,Mon2,treated_only,44644000.0,0.0,,
Q80TM9,Nisch,treated_only,0.0,4461400.0,,
Q80TV8,Clasp1,control_only,,,18956000.0,7510500.0
Q80V26,Impad1,control_only,,,27756000.0,0.0
Q80W47,Wipi2,treated_only,31963000.0,0.0,,
Q80X50,Ubap2l,control_only,,,10106000.0,0.0
Q80X71,Tmem106b,treated_only,14406000.0,28359000.0,,
Q80Y56,Rbsn,treated_only,0.0,0.0,,
Q80Y86,Mapk15,treated_only,97052000.0,87146000.0,,
Q8BFZ3,Actbl2,treated_only,46166000.0,51745000.0,,
Q8BG22,Clca2,control_only,,,0.0,121190000.0
Q8BH04,Pck2,control_only,,,0.0,19124000.0
Q8BH43,Wasf2,control_only,,,1627000.0,10781000.0
Q8BH64,Ehd2,treated_only,6457900.0,2630100.0,,
Q8BHC9,Fut11,treated_only,0.0,43036000.0,,
Q8BIW9,Chtf18,control_only,,,131400000.0,230930000.0
Q8BJ71,Nup93,treated_only,0.0,0.0,,
Q8BJR6,Prss27,treated_only,0.0,44492000.0,,
Q8BK30,Ndufv3,treated_only,13542000.0,0.0,,
Q8BK72,Mrps27,control_only,,,45301000.0,0.0
