© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Heparan Sulfate Biosynthesis (Late Stages)	3.7E-01	4.04E-02	NaN	ADPRS,EXT1,EXT2,EXTL2	
Glioma Signaling	3.66E-01	3.91E-02	NaN	EGFR,IDH2,IGF2,MAPK1,PA2G4	
Endocannabinoid Developing Neuron Pathway	3.66E-01	3.91E-02	2.000	GNB1,GNG12,MAPK1,MAPK14,STMN2	
LPS/IL-1 Mediated Inhibition of RXR Function	3.65E-01	3.65E-02	NaN	ALDH16A1,ALDH1A2,ALDH1L1,APOE,FABP4,Fabp9,Gsta3,GSTK1,HMGCS1,IL1RL1,TNFRSF1B	
IL-6 Signaling	3.59E-01	3.88E-02	2.236	CSNK2B,IL1RL1,MAPK1,MAPK14,TNFRSF1B	
Netrin-1 signaling	3.59E-01	4.55E-02	NaN	NEO1,SLIT3	
TBC/RABGAPs	3.59E-01	4.55E-02	NaN	RAB5C,TBC1D15	
Prolactin receptor signaling	3.56E-01	5.88E-02	NaN	CUL1	
Metabolism of folate and pterines	3.56E-01	5.88E-02	NaN	ALDH1L1	
Metabolism of Angiotensinogen to Angiotensins	3.56E-01	5.88E-02	NaN	ANPEP	
RAN Signaling	3.56E-01	5.88E-02	NaN	KPNA3	
Cell surface interactions at the vascular wall	3.51E-01	3.69E-02	1.414	COL1A2,GAS6,ITGA3,ITGB1,MIF,PF4,PROCR,TGFB1	
Growth Hormone Signaling	3.51E-01	4.11E-02	NaN	IGF2,MAPK1,STAT1	
SUMOylation of transcription cofactors	3.48E-01	4.44E-02	NaN	NPM1,SUMO2	
Synaptic Long Term Potentiation	3.46E-01	3.82E-02	1.000	MAPK1,PLCD1,PPP1CA,PPP1CB,PPP1CC	
GPER1 signaling	3.4E-01	3.88E-02	1.000	GNB1,GNG12,ITGB1,NME3	
Mouse Embryonic Stem Cell Pluripotency	3.4E-01	3.88E-02	1.000	LIF,LIFR,MAPK1,MAPK14	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	3.38E-01	5.56E-02	NaN	CCL2	
MIF Regulation of Innate Immunity	3.37E-01	4.35E-02	NaN	MAPK1,MIF	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	3.37E-01	4.35E-02	NaN	PARP1,SPP1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	3.37E-01	4.35E-02	NaN	CCL2,MAPK1	
GABA Receptor Signaling	3.28E-01	3.73E-02	NaN	ABAT,AP2M1,GNB1,GNG12,NSF	
Interleukin-2 family signaling	3.26E-01	4.26E-02	NaN	LGALS9,STAT1	
Macrophage Alternative Activation Signaling Pathway	3.26E-01	3.63E-02	1.134	Chil3/Chil4,MAPK1,MAPK14,PF4,STAT1,TGFB1,TGFB3	
FOXO-mediated transcription	3.21E-01	5.26E-02	NaN	YWHAG	
γ-linolenate Biosynthesis II (Animals)	3.21E-01	5.26E-02	NaN	CYB5A	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.21E-01	3.61E-02	NaN	ADAM17,EGFR,JAG1,MAPK1,NCSTN,TGFB1,TGFB3	
Antiproliferative Role of Somatostatin Receptor 2	3.18E-01	3.9E-02	NaN	GNB1,GNG12,MAPK1	
Toll-like Receptor Signaling	3.18E-01	3.9E-02	NaN	IL1RL1,MAPK1,MAPK14	
G alpha (z) signalling events	3.16E-01	4.17E-02	NaN	GNB1,GNG12	
Inositol phosphate metabolism	3.16E-01	4.17E-02	NaN	IMPA2,PLCD1	
Complex IV assembly	3.16E-01	4.17E-02	NaN	COX5A,COX5B	
IL-33 Signaling Pathway	3.16E-01	3.59E-02	1.342	CASP3,CCL2,H2AX,IL1RL1,IRF3,MAPK1,MAPK14	
Hepatic Cholestasis	3.14E-01	3.56E-02	-0.707	IL1RL1,IRF3,LIF,MAPK1,TGFB1,TGFB3,TJP2,TNFRSF1B	
VDR/RXR Activation	3.1E-01	3.85E-02	NaN	IL1RL1,PSMC5,SPP1	
NF-κB Activation by Viruses	3.1E-01	3.85E-02	NaN	ITGA3,ITGB1,MAPK1	
PPAR Signaling	3.07E-01	3.7E-02	-2.000	HSP90AA1,IL1RL1,MAPK1,TNFRSF1B	
Antimicrobial peptides	3.07E-01	4.08E-02	NaN	ATOX1,LTF	
TP53 Regulates Transcription of Cell Cycle Genes	3.07E-01	4.08E-02	NaN	BAX,NPM1	
Co-stimulation by CD28	3.07E-01	4.08E-02	NaN	PPP2CA,PPP2CB	
Retinoate Biosynthesis I	3.07E-01	4.08E-02	NaN	Akr1b7,ALDH1A2	
Apelin Muscle Signaling Pathway	3.07E-01	4.08E-02	NaN	GNB1,GNG12	
CDX Gastrointestinal Cancer Signaling Pathway	3.06E-01	3.55E-02	1.890	EFNB1,EGFR,LIF,MAPK1,MAPK14,TGFB1,TGFB3	
SUMOylation of transcription factors	3.05E-01	5E-02	NaN	SUMO2	
GABA synthesis, release, reuptake and degradation	3.05E-01	5E-02	NaN	ABAT	
Class I peroxisomal membrane protein import	3.05E-01	5E-02	NaN	FIS1	
Formation of ATP by chemiosmotic coupling	3.05E-01	5E-02	NaN	ATP5F1D	
Mineralocorticoid Biosynthesis	3.05E-01	5E-02	NaN	Gsta3	
Apelin Liver Signaling Pathway	3.05E-01	5E-02	NaN	COL1A2	
STAT3 Pathway	2.99E-01	3.6E-02	0.000	EGFR,IL1RL1,MAPK1,MAPK14,TGFB1	
Synaptic adhesion-like molecules	2.91E-01	4.76E-02	NaN	RTN3	
Glucocorticoid Biosynthesis	2.91E-01	4.76E-02	NaN	Gsta3	
RBP4 in Immune and Metabolic Regulation Signaling Pathway	2.88E-01	3.6E-02	0.000	CCL2,MAPK1,MAPK14,RBP4	
IL-3 Signaling	2.88E-01	3.7E-02	NaN	CRKL,MAPK1,STAT1	
NR1H2 and NR1H3-mediated signaling	2.88E-01	3.92E-02	NaN	APOE,MOV10	
Th2 Pathway	2.88E-01	3.55E-02	2.236	HLA-A,IL1RL1,JAG1,NCSTN,TGFB1	
Phase I - Functionalization of compounds	2.82E-01	3.57E-02	0.000	ADH5,AOC3,CBR3,NQO2	
TNFR1 Signaling	2.8E-01	3.85E-02	NaN	BID,CASP3	
Estrogen Biosynthesis	2.8E-01	3.85E-02	NaN	Akr1b7,HSD17B4	
Ovarian Folliculogenesis Signaling Pathway	2.72E-01	3.4E-02	0.000	BAX,EGFR,JAG1,LRP1,MAPK1,MAPK14,PBK,TGFB1	
Signaling by EGFR	2.71E-01	3.77E-02	NaN	ADAM17,EGFR	
Ribotoxic Stress Signaling Pathway	2.71E-01	3.77E-02	NaN	MAPK1,MAPK14	
Transcriptional regulation of white adipocyte differentiation	2.68E-01	3.57E-02	NaN	FABP4,TGFB1,THRAP3	
PEDF Signaling	2.68E-01	3.57E-02	NaN	MAPK1,MAPK14,SERPINF1	
Role of NFAT in Cardiac Hypertrophy	2.68E-01	3.39E-02	0.378	GNB1,GNG12,LIF,MAPK1,MAPK14,PLCD1,TGFB1,TGFB3	
Synaptic Long Term Depression	2.67E-01	3.4E-02	0.816	MAPK1,PLA2G15,PLCD1,PPM1L,PPP2CA,PPP2CB,PTPA	
Signaling by NODAL	2.64E-01	4.35E-02	NaN	MAPK1	
Nucleotide salvage	2.64E-01	4.35E-02	NaN	ADK	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	2.64E-01	4.35E-02	NaN	CCL2	
FGF Signaling	2.55E-01	3.49E-02	NaN	CRKL,MAPK1,MAPK14	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	2.55E-01	3.49E-02	NaN	ADAM17,JAG1,NCSTN	
Myocardin Signaling Pathway	2.55E-01	3.42E-02	-1.000	MAPK1,MYH11,TGFB1,TGFB3	
PIP3 activates AKT signaling	2.53E-01	3.38E-02	0.447	EGFR,IL1RL1,MAPK1,PPP2CA,PPP2CB	
Regulation of RUNX1 Expression and Activity	2.52E-01	4.17E-02	NaN	MOV10	
Pre-NOTCH Expression and Processing	2.49E-01	3.39E-02	1.000	B4GALT1,H2AX,MOV10,POFUT1	
Phototransduction Pathway	2.48E-01	3.57E-02	NaN	GNB1,PDE6D	
Incretin synthesis, secretion, and inactivation	2.41E-01	4E-02	NaN	GNB1	
Mitochondrial RNA degradation	2.41E-01	4E-02	NaN	REXO2	
Cancer Drug Resistance by Drug Efflux	2.33E-01	3.45E-02	NaN	MAPK1,YBX1	
Interleukin-20 family signaling	2.3E-01	3.85E-02	NaN	STAT1	
Glycogen metabolism	2.3E-01	3.85E-02	NaN	GYG1	
Signaling by Erythropoietin	2.3E-01	3.85E-02	NaN	CRKL	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.3E-01	3.85E-02	NaN	PLCD1	
Cardiogenesis	2.2E-01	3.7E-02	NaN	WDR5	
CDP-diacylglycerol Biosynthesis I	2.2E-01	3.7E-02	NaN	GPD1	
The Visual Cycle	2.2E-01	3.7E-02	NaN	Akr1b7	
Nicotinate metabolism	2.01E-01	3.45E-02	NaN	NAXE	
SUMOylation of intracellular receptors	2.01E-01	3.45E-02	NaN	SUMO2	
TNFs bind their physiological receptors	2.01E-01	3.45E-02	NaN	TNFRSF1B	
EGR2 and SOX10-mediated initiation of Schwann cell myelination	2.01E-01	3.45E-02	NaN	LAMA2	
Paracetamol ADME	2.01E-01	3.45E-02	NaN	ACY1	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	2.01E-01	3.45E-02	NaN	GPD1	
Neurovascular Coupling Signaling Pathway	-0E00	2.98E-02	2.000	ENTPD5,MPRIP,PLA2G15,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
Oxytocin in Brain Signaling Pathway	-0E00	2.48E-02	0.000	EGFR,GNB1,GNG12,MAPK1,PLA2G15	
Natural Killer Cell Signaling	-0E00	2.97E-02	0.816	COL18A1,COL1A2,HLA-A,ITGB1,MAPK1,MAPK14	
S100 Family Signaling Pathway	-0E00	3.17E-02	-0.816	ANXA2,ATP5F1D,CASP3,CELSR3,COPS5,EGFR,IQGAP1,IRF3,MAPK1,MAPK14,MCAM,MMP14,Mmp3,MMP7,MYH9,NCL,PLAT,PLCD1,S100A13,S100A14,S100A6,SERPINF1,TGFB1,TGFB3,TPM3	
Circadian Rhythm Signaling	-0E00	2.88E-02	NaN	CIRBP,EIF4E,GNB1,GNG12,MAPK1,PLCD1,PTGDS,RACK1	
Fc Epsilon RI Signaling	-0E00	1.67E-02	NaN	MAPK1,MAPK14	
Acetylcholine Receptor Signaling Pathway	-0E00	2.93E-02	-0.816	ADAM17,ADAM9,CASP3,MAPK1,NCSTN,PLCD1	
GABAergic Receptor Signaling Pathway (Enhanced)	-0E00	2.14E-02	NaN	ABAT,GNB1,GNG12	
Glutaminergic Receptor Signaling Pathway (Enhanced)	-0E00	2.99E-02	1.000	EIF4E,MAPK1,MAPK14,NAPA,NSF,PLA2G15,PLCD1,TGFB1,TGFB3,YKT6	
NFKBIE Signaling Pathway	-0E00	6.67E-03	NaN	PPP6C,PPP6R3,TNFRSF1B	
G alpha (i) signalling events	-0E00	1.55E-02	1.000	GNB1,GNG12,HEBP1,PF4	
Neurotransmitter release cycle	-0E00	2.5E-02	NaN	LIN7C	
GPVI-mediated activation cascade	-0E00	2.86E-02	NaN	COL1A2	
Meiotic synapsis	-0E00	2.56E-02	NaN	H2AX,LMNB1	
Potassium Channels	-0E00	1.94E-02	NaN	GNB1,GNG12	
Signaling by SCF-KIT	-0E00	2.33E-02	NaN	STAT1	
PI Metabolism	-0E00	1.19E-02	NaN	PITPNB	
Toll-like Receptor Cascades	-0E00	3.12E-02	NaN	DNM1L	
Complement cascade	-0E00	2.16E-02	NaN	C4a/C4b,CD81,SERPING1	
p75 NTR receptor-mediated signalling	-0E00	3.16E-02	0.447	ADAM17,CASP3,NCSTN,NME3,YWHAE	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	9.88E-03	0.816	CD81,COL1A2,COLEC12,HLA-A,ITGA3,ITGB1	
Signaling by BMP	-0E00	3.23E-02	NaN	FSTL1	
Signaling by ALK	-0E00	3.23E-02	NaN	PTPRZ1	
PRC2 methylates histones and DNA	-0E00	2.78E-02	NaN	H2AX,RBBP7	
Arachidonate metabolism	-0E00	2.17E-02	NaN	DPEP3	
Abacavir ADME	-0E00	2.99E-02	NaN	NME3,NT5C2	
Senescence-Associated Secretory Phenotype (SASP)	-0E00	1.8E-02	NaN	H2AX,MAPK1	
Class A/1 (Rhodopsin-like receptors)	-0E00	1.2E-02	1.000	CCL2,HEBP1,INSL3,PF4	
Class B/2 (Secretin family receptors)	-0E00	2.11E-02	NaN	GNB1,GNG12	
Olfactory Signaling Pathway	-0E00	1.35E-02	NaN	GNB1	
Regulation of lipid metabolism by PPARalpha	-0E00	2.52E-02	NaN	FHL2,HMGCS1,THRAP3	
G alpha (q) signalling events	-0E00	1.15E-02	NaN	GNB1,GNG12	
G alpha (12/13) signalling events	-0E00	2.5E-02	NaN	GNB1,GNG12	
G alpha (s) signalling events	-0E00	2.07E-02	NaN	GNB1,GNG12,INSL3	
Transport of bile salts and organic acids, metal ions and amine compounds	-0E00	1.19E-02	NaN	HEPH	
Transport of inorganic cations/anions and amino acids/oligopeptides	-0E00	9.35E-03	NaN	SRI	
Transport of vitamins, nucleosides, and related molecules	-0E00	2.33E-02	NaN	ARL2BP	
SIRT1 negatively regulates rRNA expression	-0E00	1.19E-02	NaN	H2AX	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	-0E00	2.7E-02	NaN	H2AX,RBBP7	
NoRC negatively regulates rRNA expression	-0E00	2.88E-02	NaN	H2AX,POLR2E,POLR2H	
Interleukin-3, Interleukin-5 and GM-CSF signaling	-0E00	1.79E-02	NaN	CRKL	
DNA methylation	-0E00	1.59E-02	NaN	H2AX	
Cardiac conduction	-0E00	7.69E-03	NaN	SRI	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	-0E00	1.54E-02	NaN	H2AX	
Surfactant metabolism	-0E00	3.12E-02	NaN	CTSH	
Fanconi Anemia Pathway	-0E00	2.63E-02	NaN	RPA3	
rRNA processing	-0E00	3.12E-02	NaN	ELAC2	
Regulation of TP53 Activity through Acetylation	-0E00	3.33E-02	NaN	RBBP7	
Keratinization	-0E00	1.85E-02	1.000	DSC2,DSP,JUP,PKP1	
DNA Damage Bypass	-0E00	2.08E-02	NaN	RPA3	
Fatty acyl-CoA biosynthesis	-0E00	2.7E-02	NaN	ACACA	
Signaling by PTK6	-0E00	1.82E-02	NaN	EGFR	
RET signaling	-0E00	2.44E-02	NaN	PDLIM7	
Transcriptional Regulation by VENTX	-0E00	2.5E-02	NaN	MOV10	
Transcriptional Regulation by E2F6	-0E00	2.94E-02	NaN	RBBP7	
Transcriptional Regulation by MECP2	-0E00	1.59E-02	NaN	MOV10	
Meiotic recombination	-0E00	2.3E-02	NaN	H2AX,RPA3	
Transcriptional regulation of granulopoiesis	-0E00	1.14E-02	NaN	H2AX	
Signaling by CSF1 (M-CSF) in myeloid cells	-0E00	3.23E-02	NaN	STAT1	
Sensory perception of taste	-0E00	2.13E-02	NaN	GNB1	
GABA receptor activation	-0E00	3.33E-02	NaN	GNB1,GNG12	
Factors involved in megakaryocyte development and platelet production	-0E00	1.85E-02	NaN	ACTB,EHD1	
BBSome Signaling Pathway	-0E00	2.24E-02	-2.111	CCT5,CCT6A,CCT7,CELSR3,DNM1L,IFT22,LZTFL1,MAPK1,MAPK14,RAB5C,TCP1	
WNT/SHH Axonal Guidance Signaling Pathway	-0E00	2.63E-02	-1.000	CELSR3,YWHAE,YWHAG,YWHAH	
Histone Modification Signaling Pathway	-0E00	3.33E-02	0.632	CSNK2B,H1-1,H2AX,HAT1,PSIP1,SPIN1,WDR5,YWHAE,YWHAG,YWHAH	
Post-translational modification: synthesis of GPI-anchored proteins	-0E00	1.08E-02	NaN	TEX101	
Chromatin modifications during the maternal to zygotic transition (MZT)	-0E00	1.45E-02	NaN	H2AX	
Replacement of protamines by nucleosomes in the male pronucleus	-0E00	2.38E-02	NaN	H2AX	
Complex I biogenesis	-0E00	1.47E-02	NaN	NDUFV2	
Lung Ionic Balance Signaling Pathway	-0E00	1.89E-02	0.000	CELSR3,IFNAR2,MAPK1,MYH9,PLCD1,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1	
Bone Mineralization Signaling Pathway	-0E00	2.65E-02	-1.000	COL1A2,IGF2,PLCD1,SPP1	
ID3 Signaling Pathway	-0E00	5.15E-03	-0.447	EGFR,IL1RL1,MAPK1,TGFB1,TGFB3	
Zn Homeostasis Signaling Pathway	-0E00	1.2E-02	-0.277	CASP3,CELSR3,MAPK1,MAPK14,MMP14,Mmp3,MMP7,Mt1,PARP1,PDE6D,STAT1,TGFB1,TGFB3	
NF1 RAS Signaling Pathway	-0E00	1.86E-02	-0.632	CELSR3,EGFR,GNB1,GNG12,MAPK1,TGFB1,VASP,YWHAE,YWHAG,YWHAH	
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes	-0E00	2.26E-02	NaN	FABP4,H2AX,WDR5	
Co-inhibition by BTLA	-0E00	1.59E-02	NaN	NME3	
SLAMF Signaling Pathway	-0E00	2.05E-03	NaN	AP2M1,MAPK1	
CGRP in Inflammation and Nociception Signaling Pathway	-0E00	1.96E-02	NaN	MAPK1,PLCD1,STAT1	
Neuropeptides in Migraine Signaling Pathway	-0E00	2.26E-02	1.000	GNB1,GNG12,MAPK1,PLCD1	
Exocyst Signaling Pathway	-0E00	1.99E-02	2.111	ACTR3,ARPC1A,ARPC2,ARPC5,EGFR,IQGAP1,IRF3,MAPK1,NAPA,NSF,YKT6	
Germ Cell Differentiation Signaling Pathway	-0E00	3.33E-02	0.000	LRP1,MAPK1,MAPK14,PTGDS	
UBE2C in Cell Cycle Progression Signaling Pathway	-0E00	1.04E-02	NaN	MAD2L1	
Cereblon and Thalidomide Signaling Pathway	-0E00	1.17E-02	NaN	GABARAPL1,MMP7	
Cardiac Conduction Signaling Pathway	-0E00	2.61E-02	NaN	ACTB,MAPK1,SMARCB1	
Cardiac Valve Formation Signaling Pathway	-0E00	3.24E-02	0.816	EGFR,JAG1,MAPK1,TGFB1,TGFB3,VCAN	
Neuronal Cancer Synapse Signaling Pathway	-0E00	2.87E-02	1.134	IRF3,MAPK1,MAPK14,MMP14,Mmp3,MMP7,STAT1	
TR/RXR Activation	-0E00	1.53E-02	NaN	ACACA,FGA	
Erythropoietin Signaling Pathway	-0E00	2.22E-02	2.000	LIF,MAPK1,TGFB1,TGFB3	
α-Adrenergic Signaling	-0E00	2.73E-02	NaN	GNB1,GNG12,MAPK1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	3.03E-02	NaN	IRF3,STAT1	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	2.13E-02	NaN	IRF3	
Role of NFAT in Regulation of the Immune Response	-0E00	4.77E-03	NaN	GNB1,GNG12,HLA-A,KPNA3,MAPK1	
LPS-stimulated MAPK Signaling	-0E00	2.35E-02	NaN	MAPK1,MAPK14	
CCR5 Signaling in Macrophages	-0E00	7.97E-03	NaN	GNB1,GNG12,MAPK1,MAPK14	
CD40 Signaling	-0E00	2.99E-02	NaN	MAPK1,MAPK14	
Calcium-induced T Lymphocyte Apoptosis	-0E00	4.29E-03	NaN	CAPN2,HLA-A	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	9.35E-03	NaN	BID,CASP3,Cyct,HLA-A	
CXCR4 Signaling	-0E00	2.98E-02	NaN	GNB1,GNG12,MAPK1,MYL12B,MYL9	
Thrombopoietin Signaling	-0E00	3.12E-02	NaN	MAPK1,STAT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	2.62E-02	-0.500	AP1G1,AP1M1,AP1S1,AP1S2,AP2M1,HLA-A,ITGA3,ITGB1,MAPK1,MAPK14,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3	
IL-15 Production	-0E00	3.28E-02	0.000	DDR1,EGFR,IRF3,STAT1	
T Helper Cell Differentiation	-0E00	8.42E-03	NaN	HLA-A,STAT1,TGFB1,TNFRSF1B	
IL-9 Signaling	-0E00	2.86E-02	NaN	STAT1	
CD28 Signaling in T Helper Cells	-0E00	9.56E-03	2.000	ACTR3,ARPC1A,ARPC2,ARPC5,HLA-A	
IL-15 Signaling	-0E00	3.8E-03	NaN	MAPK1,MAPK14	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	1.82E-02	NaN	TGFB1	
Dendritic Cell Maturation	-0E00	1.3E-02	1.414	COL18A1,COL1A2,HLA-A,MAPK1,MAPK14,PLCD1,STAT1,TNFRSF1B	
Melatonin Signaling	-0E00	2.47E-02	NaN	MAPK1,PLCD1	
Neuropathic Pain Signaling in Dorsal Horn Neurons	-0E00	1.85E-02	NaN	MAPK1,PLCD1	
Endothelin-1 Signaling	-0E00	2.48E-02	2.000	CASP3,MAPK1,MAPK14,PLA2G15,PLCD1	
Relaxin Signaling	-0E00	2.58E-02	NaN	GNB1,GNG12,MAPK1,PDE6D	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	3.16E-02	0.000	LRP1,MAPK14,PLCD1,TGFB1,TGFB3	
Renin-Angiotensin Signaling	-0E00	3.28E-02	NaN	CCL2,MAPK1,MAPK14,STAT1	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	1.95E-03	NaN	HLA-A	
Molecular Mechanisms of Cancer	-0E00	2.56E-02	1.091	BAX,BID,CASP3,CELSR3,GNB1,GNG12,HAT1,IL1RL1,ITGA3,ITGB1,LRP1,MAPK1,MAPK14,MMP14,Mmp3,MMP7,NCSTN,PA2G4,RABIF,SPIN1,TGFB1,TGFB3	
Lipid Antigen Presentation by CD1	-0E00	4.82E-03	NaN	AP2M1,CANX	
Corticotropin Releasing Hormone Signaling	-0E00	1.94E-02	NaN	ARPC5,MAPK1,MAPK14	
HGF Signaling	-0E00	3.05E-02	1.000	CRKL,ITGA3,ITGB1,MAPK1	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	1.28E-02	NaN	APOE	
GNRH Signaling	-0E00	2.59E-02	1.000	EGFR,GNB1,GNG12,MAPK1,MAPK14	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	2.56E-02	NaN	EGFR,MAPK1,MAPK14	
Human Embryonic Stem Cell Pluripotency	-0E00	3E-02	0.000	HSP90AA1,LIF,LIFR,MAPK1,TGFB1,TGFB3	
Melanocyte Development and Pigmentation Signaling	-0E00	1.01E-02	NaN	MAPK1	
DNA Methylation and Transcriptional Repression Signaling	-0E00	1.02E-02	NaN	RBBP7	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00	2.44E-02	NaN	LIF,LIFR,MAPK1	
Prolactin Signaling	-0E00	3.12E-02	NaN	MAPK1,NMI,STAT1	
CREB Signaling in Neurons	-0E00	1.77E-02	-0.447	CELSR3,EGFR,GNB1,GNG12,MAPK1,PLCD1,POLR2D,POLR2E,POLR2H,POLR2I,TGFB1	
Melanoma Signaling	-0E00	2E-02	NaN	MAPK1	
Prostate Cancer Signaling	-0E00	2.59E-02	NaN	HSP90AA1,MAPK1,PA2G4	
Type I Diabetes Mellitus Signaling	-0E00	1.56E-02	0.816	BID,CASP3,Cyct,HLA-A,MAPK1,MAPK14,STAT1,TNFRSF1B	
Small Cell Lung Cancer Signaling	-0E00	3.06E-02	NaN	BID,Cyct,PA2G4	
Endometrial Cancer Signaling	-0E00	1.67E-02	NaN	MAPK1	
Allograft Rejection Signaling	-0E00	2.02E-03	NaN	HLA-A	
Autoimmune Thyroid Disease Signaling	-0E00	2.15E-03	NaN	HLA-A	
Acute Myeloid Leukemia Signaling	-0E00	3.26E-02	NaN	IDH2,JUP,MAPK1	
Thyroid Cancer Signaling	-0E00	1.28E-02	NaN	MAPK1	
Graft-versus-Host Disease Signaling	-0E00	2.22E-03	NaN	HLA-A	
Type II Diabetes Mellitus Signaling	-0E00	1.32E-02	NaN	MAPK1,TNFRSF1B	
Non-Small Cell Lung Cancer Signaling	-0E00	3.12E-02	NaN	EGFR,MAPK1,PA2G4	
Gα12/13 Signaling	-0E00	2.99E-02	NaN	CDH16,MAPK1,MYL12B,MYL9	
p70S6K Signaling	-0E00	1.7E-02	0.378	EGFR,MAPK1,PLCD1,PPM1L,PPP2CA,PPP2CB,PTPA,YWHAE,YWHAG,YWHAH	
G Beta Gamma Signaling	-0E00	3.08E-02	0.000	EGFR,GNB1,GNG12,MAPK1	
G Protein Signaling Mediated by Tubby	-0E00	4.26E-03	NaN	GNB1,GNG12	
Communication between Innate and Adaptive Immune Cells	-0E00	1.06E-03	NaN	HLA-A	
Sphingosine-1-phosphate Signaling	-0E00	3.2E-02	NaN	ASAH2,CASP3,MAPK1,PLCD1	
Systemic Lupus Erythematosus Signaling	-0E00	1.78E-02	NaN	EFTUD2,HLA-A,LSM2,LSM4,LSM5,LSM6,LSM8,MAPK1,PPIH,PRPF19,PRPF40A,SNRNP200,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPF,SNRPG	
CDC42 Signaling	-0E00	3.09E-02	0.535	ACTR3,ARPC1A,ARPC2,ARPC5,HLA-A,IQGAP1,ITGA3,ITGB1,MAPK1,MAPK14,MPRIP,MYL12B,MYL9,MYLK,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
FAK Signaling	-0E00	1.84E-02	1.606	ACTR3,ARPC1A,ARPC2,ARPC5,CAPN2,CELSR3,COL1A2,CRKL,EFNB1,EGFR,IL1RL1,ITGA3,ITGB1,MAPK1,MAPK14,MMP14,SDCBP,TGFB1,TGFB3	
Phospholipase C Signaling	-0E00	1.15E-02	-1.000	GNB1,GNG12,ITGA3,ITGB1,MAPK1,MPRIP,MYL12B,MYL9,PLCD1,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
Ovarian Cancer Signaling	-0E00	2.52E-02	NaN	EGFR,MAPK1,MMP7,PA2G4	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	3.18E-03	NaN	HLA-A,SPP1,TGFB1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00	3.19E-02	1.000	ADAMTS4,CCL2,FRZB,IL1RL1,LRP1,MAPK1,MAPK14,MIF,PLCD1,TGFB1,TNFRSF1B	
Leptin Signaling in Obesity	-0E00	2.38E-02	NaN	MAPK1,PLCD1	
Glioma Invasiveness Signaling	-0E00	2.82E-02	NaN	MAPK1,TIMP1	
B Cell Development	-0E00	2.04E-03	NaN	HLA-A	
Breast Cancer Regulation by Stathmin1	-0E00	2.98E-02	0.000	CELSR3,GNB1,GNG12,MAPK1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R7,PPP2CA,PPP2CB,PPP4C,PTPA,TGFB1,TUBA1A,TUBB2A,Tubb2b,TUBB3	
RANK Signaling in Osteoclasts	-0E00	2.15E-02	NaN	MAPK1,MAPK14	
Glioblastoma Multiforme Signaling	-0E00	2.25E-02	0.000	EGFR,IGF2,MAPK1,PLCD1	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	6.42E-03	NaN	MAPK1,TGFB1,TGFB3	
NUR77 Signaling in T Lymphocytes	-0E00	5.78E-03	NaN	CASP3,HLA-A,MAPK1	
PKCθ Signaling in T Lymphocytes	-0E00	3.57E-03	NaN	HLA-A,MAPK1	
TNFR2 Signaling	-0E00	3.03E-02	NaN	TNFRSF1B	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	1.41E-02	-1.633	CDC34,CUL1,DPP7,MAPK1,TGFB1,TGFB3	
MSP-RON Signaling Pathway	-0E00	3.23E-02	NaN	ACTB,CCL2	
