© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Coronavirus Replication Pathway	1.56E01	1.82E-01	1.342	COPE,COPG2,COPZ1,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,TUBA1A,TUBB2A,Tubb2b,TUBB3	
Protein Ubiquitination Pathway	1.55E01	1.52E-01	2.596	CDC34,CRYAB,CUL1,DNAJA1,DNAJB4,DNAJC10,DNAJC24,DNAJC8,ELOB,ELOC,HLA-A,HSP90AA1,HSPH1,NEDD4L,PSMA6,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SUGT1,UBE2A,UBE2G1,UBE2H,UBE2L3,UBE2N,UBE2V1,UBE2V2,UBE3A,UBR2,UCHL5,USO1,USP47,USP7,USP9X	
Exosome Signaling Pathway	1.54E01	1.75E-01	3.182	EXOSC2,PABPN1,POLR2D,POLR2E,POLR2H,POLR2I,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,SKIC8,SRRT	
Ribosomal Quality Control Signaling Pathway	1.53E01	1.43E-01	2.592	EXOSC2,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,TRNT1	
Stress Granule Signaling Pathway	1.44E01	1.47E-01	0.000	BAX,CAPRIN1,CSNK2B,EIF1AX,EIF2S2,EIF2S3,EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4E,EIF4G1,HSP90AA1,MAPK1,MAPK14,PABPN1,PAIP1,RACK1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,TNFRSF1B,VPS28	
Class I MHC mediated antigen processing and presentation	1.37E01	1.23E-01	2.771	ADRM1,BLMH,CANX,CDC34,CUL1,ELOB,ELOC,FBXO22,FGA,HERC4,HLA-A,HMGB1,LNPEP,MRC2,NEDD4L,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RNF114,SEC13,SEC22B,SEC23A,SEC23B,SEC31A,TPP2,UBA3,UBA5,UBE2A,UBE2G1,UBE2H,UBE2L3,UBE2N,UBE2V1,UBE2V2,UBE3A,UBR2	
Eukaryotic Translation Termination	1.34E01	1.82E-01	3.286	APEH,ETF1,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA	
Selenoamino acid metabolism	1.26E01	1.64E-01	3.413	AHCY,IARS1,RACK1,RARS1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA	
NIK-->noncanonical NF-kB signaling	1.21E01	2.95E-01	0.000	ADRM1,CUL1,NEDD8,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,UBA3	
SRP-dependent cotranslational protein targeting to membrane	1.21E01	1.62E-01	3.286	RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPN1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,SRP14	
