© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cancer, Organismal Injury and Abnormalities, Renal and Urological Disease	renal cell cancer	Renal cell carcinoma	7.92E-06	 	 	 	 	CHD1,FAM169A,MAP2K1,ANGPTL4,PLG,SMC3,HEG1,RPL9,POLE3,MLST8,GTF2E1,CTSS,CELSR2,MME,CTHRC1,CTNNB1,ADAM19,RIGI,OTUD6B,SDHAF2,NDUFA2,PHYHD1,VIRMA,TNPO3,CIAPIN1,JAM3,EHD2,QPRT,CBFB,TJP1,AKT1,NDUFV3,COA4,SMARCC1,BSG,GSTT1,UBR4,GRIK4,ACOX1,RPL38,SFRP2,TP53BP1,DDX5,AMBP,GCN1,HK2,PALM2AKAP2,SMURF1,ASNS,SCG3,LMAN2L,RCC1,SBSN,FAT2,MMP13,SRCIN1,TRIOBP,MMUT,HLA-A,ACAT1,ADAMTS7,MAPDA,NCKAP1	63	
Cardiovascular Disease, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of atrium	8.18E-06	 	 	 	 	CASQ2,AKT1,SEMA3A,ADAM19,ADAM12,MYH10,IDUA,SRSF10,TATDN1	9	
Cardiovascular System Development and Function, Organismal Development	angiogenesis	Angiogenesis	8.57E-06	 	 	 	 	ADD1,TJP1,ITGAV,AKT1,CTSK,MECP2,NRP2,LRRFIP1,TNFRSF1A,FHL1,CHD1,SYNJ2BP,BMPER,MAP2K1,ANGPTL4,PLG,RNF7,HEG1,SPINT1,BSG,DPP4,ISG15,SFRP2,ADAM12,LRP6,HK2,Serpina3n (includes others),CTSS,SCG3,DRAP1,BAG3,NUP98,CTNNB1,HEXIM1,ADAM19,NISCH,MYH10,GLMN,ANGPTL2,MMP13,VIRMA,VTN,AVP,SEMA3A,JAM3,PDGFA,EPS15	47	
Gastrointestinal Disease, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of digestive system	8.69E-06	 	 	 	 	FHIT,AKT1,CTSK,MECP2,TNFRSF1A,Safb,ANGPTL4,PLG,BSG,DPP4,Pip,CDNF,HUWE1,LRP6,PTPRS,MAPK9,CTHRC1,CTNNB1,HINT2,RIGI,GSTZ1,DNAJC3,MMUT,CIAPIN1,IDUA,JAM3,DNAAF11,PDGFA	28	
Cell Morphology, Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	morphogenesis	Morphogenesis of neurons	8.70E-06	 	 	 	 	EIF4EBP2,DBNL,TMEM106B,AKT1,MECP2,NRP2,MAP2K1,PLG,ULK1,MAP7,AFG3L2,CKM,SFRP2,LRP6,MOB2,MYOC,SMURF1,PTPRS,MAPK9,SP4,MYO10,CELSR2,DYNC1I2,CTNNB1,PDLIM5,MYH10,WASL,BOC,SRCIN1,MAP7D2,HLA-A,SEMA3A,AP2A1,CFAP418,PSD	35	
Cardiovascular Disease, Organismal Injury and Abnormalities	abnormality	Abnormality of atrium	8.70E-06	 	 	 	 	BAG3,CASQ2,AKT1,MME,CTNNB1,SEMA3A,ADAM19,ADAM12,MYH10,IDUA,SRSF10,TATDN1	12	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	breast or ovarian carcinoma	Breast or ovarian carcinoma	8.85E-06	 	 	 	 	DBNL,AKAP13,PRMT5,CTSK,TNFRSF1A,CMC1,MDC1,ACAD10,SMC3,NAXD,LRP6,PCNP,MYO10,CPXM1,FDX2,MME,CTHRC1,CTNNB1,CPOX,GLB1L3,TGM1,ACTBL2,ADAM19,RIGI,WASL,PHYHD1,VIRMA,SNX18,AUH,LONP1,EPS15,CBFB,STOM,DNAJC2,DNAJC1,CD109,RNF7,NUP93,ARRB1,RALY,ULK1,CDH17,RANGAP1,PYM1,TPK1,HUWE1,HK2,SMURF1,CHLSN,PEG3,SBSN,NUP98,FAT2,GLMN,MMP13,TGM3,MASP1,MAP7D2,HLA-A,ADAMTS7,DNAJC7,KIF2B,EIF5B,ITGAV,ALKBH6,CHD1,MBD5,MAP2K1,ANGPTL4,BICD2,GMPPB,HEG1,C2orf76,SPINT1,MYH14,SCIN,PTPRS,CELSR2,HPDL,TST,HEXIM1,ANGPTL2,OTUD6B,CHD4,BROX,COL6A5,UBQLN1,MCM3,IDUA,JAM3,AKT1,NRP2,SMARCC1,BSG,MAPK15,DPP4,EPRS1,LARP1,ACOX1,SFRP2,TP53BP1,DDX5,MRPL12,USP24,GCN1,PALM2AKAP2,TEP1,DYNC1I2,RCC1,SPINK8,BTF3,JPT1,MYH10,MMUT,MAT2B,SUCLG2,STX4,PLA2R1,PSD	119	
Cancer, Organismal Injury and Abnormalities	growth	Growth of subcutaneous tumor	9.75E-06	 	 	 	 	PRMT5,TJP1,CTSK,CHD1,SMC3,MYH14,ISCU,ISG15,NPM3,MLST8,DDX5,SRSF10,HK2,ASNS,TIGAR,USP4,RCC1,SBSN,CTNNB1,RIGI,ANGPTL2,VIRMA,AP2A1,LONP1,JAM3,EHD2,SUCLG2	27	
Cancer, Organismal Injury and Abnormalities	squamous cell carcinoma of the non-oropharynx	Squamous cell carcinoma of the non-oropharynx	9.83E-06	 	 	 	 	EIF4EBP2,ADD1,MBD5,ECHDC1,CFAP20,ACAD10,HEG1,MYH14,ANKK1,MAP7,MLST8,ADAM12,LRP6,FAM120A,GTF2E1,PTPRS,MYO10,CELSR2,CTHRC1,CTNNB1,GLB1L3,PDLIM5,ADAM19,RIGI,MAP1LC3A,BTF3L4,BOC,CHD4,COL6A5,LONP1,IDUA,CBFB,TJP1,MECP2,LRRFIP1,MOB1B,SMARCC1,DPP4,UBR4,B3GNT7,HUWE1,ISG15,MOB1A,GOLGA3,DDX5,GCN1,PEG3,DYNC1I2,ICOSLG,SBSN,FAT2,MYH10,TGM3,GCAT,MASP1,HLA-A,AVP,SEMA3A,CHMP5	59	
Cell Morphology	abnormal morphology	Abnormal morphology of cellular component	9.88E-06	 	 	 	 	AKAP13,MDC1,BICD2,SMC3,BSG,ULK1,MYH14,CSRP2,MOB2,RAN,NUDCD3,AMBP,MYOC,PAIP2,CTSS,MYO10,BAG3,RCC1,MME,NUP98,PDLIM5,HINT2,MYH10,SRCIN1,GSTZ1,APPL1,MMUT,CASQ2,CHD4,BLOC1S2,IDUA,CHMP5,DNASE1L2,PSD	34	
Molecular Transport	transport	Transport of molecule	9.95E-06	 	 	 	 	EIF4EBP2,UBE2S,DBNL,AKAP13,ITGAV,TNFRSF1A,MAP2K1,ANGPTL4,NME4,PLG,SMC3,KIRREL2,SPIRE2,POLE3,NCBP2,ISCU,AFG3L2,SH3BGR,LRP6,SCIN,MYOC,PAIP2,TIGAR,MAPK9,Il36a,CTSS,NAA10,BAG3,FDX2,CGA,MME,TST,CTNNB1,CPOX,TGM1,Gstp1 (includes others),ADAM19,HINT2,RIGI,WASL,VIRMA,SNX18,PGGT1B,APPL1,TNPO3,BLOC1S2,CLIC5,UBQLN1,JAM3,EPS15,CBFB,AKT1,MECP2,FHL1,BMPER,DNAJC1,ARRB1,BSG,DPP4,CDH17,RANGAP1,GRIK4,ISG15,BRCC3,DDX5,RAN,AMBP,HK2,SMURF1,RBSN,PEG3,SCG3,LMAN2L,ICOSLG,NUP98,RAB5A,YPEL5,NISCH,MMP13,POFUT4,SRCIN1,HLA-A,CASQ2,AVP,SEMA3A,ACAT1,AP2A1,CHMP5,STX4,PSD	90	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities	extrapancreatic neuroendocrine tumor	Extrapancreatic neuroendocrine tumor	1.00E-05	 	 	 	 	AKAP13,ADD1,ITGAV,GET4,CMC1,EXOSC7,MBD5,GALNT2,MDC1,ECHDC1,MAP2K1,PLG,ACAD10,SMC3,MYH14,MAP7,ISCU,SH3BGR,HMGB3,ADAM12,SCIN,DSC1,MAPK9,TATDN1,NAA10,MYO10,FDX2,CGA,CTHRC1,CTNNB1,GLB1L3,PDLIM5,ADAM19,ANGPTL7,WASL,SDHAF2,BOC,MTUS1,PHYHD1,VIRMA,TSHB,DIS3,TNPO3,BLOC1S2,SPRING1,BROX,COL6A5,UBQLN1,IDUA,TJP1,AKT1,MECP2,FHL1,ARRB1,RALY,BSG,DPP4,EPRS1,UBR4,GRIK4,TPK1,ACOX1,HUWE1,RGMB,RPRD1B,MOB1A,SFRP2,BRCC3,TP53BP1,HK2,SMURF1,CHLSN,PEG3,SP4,SCG3,TEP1,DYNC1I2,FAT2,ADAMTSL2,MMP13,EEF1AKMT2,TGM3,MON2,MASP1,TRIOBP,MIF4GD,MAP7D2,VTN,AVP,SHFL,DCTD,KIF18B,PCCB,DNAJC7,MAPDA,PSD	96	
Cellular Movement	invasion	Invasion of carcinoma cell lines	1.02E-05	 	 	 	 	EIF5B,FHIT,PRMT5,TJP1,ITGAV,AKT1,CTSK,NRP2,FHL1,GALNT2,DNAJC1,MAP2K1,SMARCC1,ANGPTL4,BSG,DPP4,CDH17,RANGAP1,MYH14,ISG15,NPM3,HMGB3,ADAM12,SCIN,FAM120A,HK2,SMURF1,USP4,NAA10,CTHRC1,CTNNB1,RIGI,OTUD6B,MTUS1,VIRMA,COL6A5,KIF18B,UBQLN1,JAM3,PDGFA,NCKAP1	41	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	cutaneous melanoma cancer	Cutaneous melanoma	1.02E-05	 	 	 	 	EIF4EBP2,AKAP13,PRMT5,ADD1,CMC1,EXOSC7,FAM169A,GALNT2,MDC1,CFAP20,ACAD10,KIRREL2,SPIRE2,ANKK1,SH3BGR,LRP6,FAM120A,NUDCD3,PCNP,MYOC,PAIP2,MAPK9,MYO10,CPXM1,FDX2,MME,CTHRC1,CTNNB1,GLB1L3,PDLIM5,TGM1,ADAM19,RIGI,MAP1LC3A,ANGPTL7,WASL,BOC,VIRMA,APPL1,CLGN,RBKS,CLINT1,LONP1,EHD2,APRT,EPS15,STOM,ARB2A,SGSM3,BMPER,DNAJC1,CD109,NUP93,ARRB1,RALY,ULK1,CDH17,RBM25,EIF4E2,B3GNT7,HUWE1,CLEC12B,AKR1E2,PRPF8,BRCC3,GOLGA3,RAN,HK2,CCAR2,CHLSN,PEG3,USP4,PPP1R11,PPM1G,SBSN,NUP98,FAT2,YPEL5,ADAMTSL2,NISCH,MMP13,TGM3,MASP1,TRIOBP,MAP7D2,VTN,SHFL,DCTD,ACSBG1,AP2A1,KIF18B,WASHC4,ADAMTS7,PCCB,PDGFA,KIF2B,MAPDA,EIF5B,MRRF,ITGAV,CHD1,GET4,MBD5,MAP2K1,BICD2,GMPPB,PLG,HEG1,SPINT1,RIMOC1,MYH14,MAP7,ISCU,BTD,COMMD4,CKM,MLST8,SCIN,GTF2E1,DSC1,PTPRS,TIGAR,CTSS,NAA10,BAG3,CELSR2,CGA,TST,PTER,C1orf50,ANGPTL2,OTUD6B,NDUFA2,TSHB,DNAJC3,DIS3,TNPO3,CHD4,COL6A5,TTC23L,PECR,RNASEH2C,MCM3,IDUA,JAM3,PDGFRL,SZRD1,FHIT,TJP1,AKT1,NRP2,LRRFIP1,FHL1,MOB1B,SMARCC1,BSG,MAPK15,DPP4,EPRS1,UBR4,LARP1,CTSF,GRIK4,CDNF,TP53BP1,DDX5,MRPL12,USP24,AMBP,GCN1,PALM2AKAP2,DDI2,SP4,SCG3,LMAN2L,TEP1,DYNC1I2,RCC1,POGLUT1,MYH10,GCAT,MON2,MMUT,CASQ2,UBE2L6,SEMA3A,MAT2B,STX4,PLA2R1,PSD,NCKAP1	191	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	mammary tumor	Mammary tumor	1.04E-05	 	 	 	 	DBNL,AKAP13,PRMT5,CTSK,TNFRSF1A,CMC1,MDC1,SMC3,POLE3,HMGB3,ADAM12,LRP6,PCNP,RPL19,MAPK9,CPXM1,FDX2,MME,CTHRC1,CTNNB1,GLB1L3,PDLIM5,RIGI,WASL,PHYHD1,VIRMA,SNX18,CLGN,LONP1,EHD2,QPRT,EPS15,CBFB,SGSM3,DNAJC1,CD109,RNF7,NUP93,ARRB1,RALY,ULK1,CDH17,RANGAP1,TPK1,HUWE1,HK2,SMURF1,CHLSN,PEG3,NUP98,FAT2,YPEL5,MMP13,TGM3,SRCIN1,MASP1,MAP7D2,HLA-A,KIF18B,PDGFA,DNAJC7,KIF2B,ITGAV,ALKBH6,PMM2,CHD1,MAP2K1,ANGPTL4,PLG,HEG1,C2orf76,SPINT1,CKM,SCIN,PTPRS,BAG3,CELSR2,TST,HEXIM1,ANGPTL2,OTUD6B,MTUS1,CHD4,COL6A5,UBQLN1,MCM3,CIAPIN1,IDUA,JAM3,FHIT,AKT1,NRP2,LRRFIP1,MOB1B,SMARCC1,BSG,DPP4,EPRS1,LARP1,ACOX1,MOB1A,SFRP2,CHKB,TP53BP1,DDX5,MRPL12,USP24,GCN1,DDI2,LMAN2L,TEP1,DYNC1I2,RCC1,SPINK8,BTF3,MYH10,SEMA3A,PLA2R1,NCKAP1	119	
Cancer, Organismal Injury and Abnormalities	ductal adenocarcinoma	Ductal adenocarcinoma	1.14E-05	 	 	 	 	AKAP13,PRMT5,CTSK,TNFRSF1A,GALNT2,MDC1,SMC3,KIRREL2,SPIRE2,RPL9,ADAM12,PCNP,MAPK9,MYO10,MME,CTHRC1,CTNNB1,Gstp1 (includes others),ACTBL2,ADAM19,WASL,BOC,VIRMA,SNX18,APPL1,LONP1,CBFB,ARB2A,CD109,NUP93,ARRB1,RALY,ULK1,CDH17,HK2,SMURF1,CHLSN,RBSN,ASNS,PEG3,NUP98,FAT2,YPEL5,MMP13,TGM3,MASP1,HLA-A,DCTD,ADAMTS7,DNAJC7,KIF2B,MRRF,ITGAV,CHD1,MAP2K1,ANGPTL4,BICD2,GMPPB,HEG1,RIMOC1,MYH14,CSRP2,NCBP2,ISCU,CKM,NDRG3,C8orf82,PTPRS,TIGAR,NAA10,CELSR2,OTUD6B,COL6A5,MCM3,DNAAF11,TJP1,AKT1,NRP2,LRRFIP1,FHL1,SMARCC1,DPP4,EPRS1,UBR4,TP53BP1,DDX5,RPL31,USP24,AMBP,DDI2,ARPP19,DYNC1I2,RCC1,BTF3,POFUT4,SEMA3A,CMC4	97	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	lung cancer	Lung cancer	1.14E-05	 	 	 	 	DBNL,AKAP13,PRMT5,CTSK,CMC1,EXOSC7,GALNT2,RPL17,MDC1,ACAD10,SMC3,KIRREL2,RPL9,AFG3L2,HMGB3,ADAM12,LRP6,FAM120A,MAPK9,MYO10,METTL21A,FDX2,MME,CTHRC1,CTNNB1,CPOX,GLB1L3,PDLIM5,ADAM19,ANGPTL7,WASL,BOC,PHYHD1,VIRMA,SNX18,PGGT1B,APPL1,BLOC1S2,RBKS,CLIC5,LONP1,EHD2,EPS15,CBFB,ARB2A,SGSM3,BMPER,DNAJC1,NUP93,ARRB1,RALY,GSTT1,RANGAP1,EIF4E2,WIPI2,TPK1,HUWE1,PSMG3,NPM3,BRCC3,GOLGA3,HK2,SMURF1,ASNS,PEG3,USP4,ICOSLG,SBSN,NUP98,ADAMTSL2,MMP13,TGM3,SRCIN1,MASP1,TRIOBP,MAP7D2,HLA-A,AVP,SHFL,DCTD,KIF18B,ADAMTS7,DNAJC7,KIF2B,EIF5B,ITGAV,CHD1,MBD5,ECHDC1,MAP2K1,ANGPTL4,BICD2,PLG,HEG1,MYH14,MAP7,SCIN,DSC1,PTPRS,TIGAR,TATDN1,CTSS,NAA10,TST,HEXIM1,ANGPTL2,OTUD6B,SDHAF2,MTUS1,DIS3,TNPO3,SPRING1,BROX,COL6A5,TTC23L,CFAP418,UBQLN1,MCM3,IDUA,JAM3,DNAAF11,FHIT,TJP1,AKT1,MECP2,FHL1,SMARCC1,UBE2D2,BSG,MAPK15,DPP4,EPRS1,UBR4,GRIK4,ACOX1,CDNF,MOB1A,SFRP2,TP53BP1,DDX5,USP24,AMBP,GCN1,PALM2AKAP2,SCG3,TEP1,DYNC1I2,RCC1,EEF1AKMT2,GCAT,MON2,MMUT,Ccl9,SEMA3A,SUCLG2,PSD,NCKAP1	157	
Organismal Injury and Abnormalities	benign lesion	Benign lesion	1.21E-05	 	 	 	 	UBE2S,PRMT5,CTSK,TNFRSF1A,CHD1,MDC1,MAP2K1,ANGPTL4,PLG,SMC3,KIRREL2,RPL9,SPINT1,CSRP2,CKM,ADAM12,LRP6,DSC1,RPL19,MAPK9,Il36a,CPXM1,CGA,MME,CTHRC1,CTNNB1,PDLIM5,TGM1,Gstp1 (includes others),ANGPTL2,BOC,TSHB,TNPO3,JAM3,FHIT,AKT1,MECP2,NRP2,FHL1,Safb,CD109,RNF7,RALY,RANGAP1,HUWE1,PRPF8,SFRP2,DDX5,PEG3,SP4,NISCH,MYH10,GLMN,MMP13,TGM3,MMUT,VTN,HLA-A,PDGFA,PLA2R1	60	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	female genital carcinoma	Female genital carcinoma	1.28E-05	 	 	 	 	AKAP13,ADD1,MDC1,CFAP20,ACAD10,SMC3,ANKK1,AFG3L2,UBE2Z,NAXD,SH3BGR,HMGB3,FAM120A,MAPK9,MYO10,CTHRC1,CTNNB1,CPOX,TGM1,ACTBL2,ADAM19,RIGI,MAP1LC3A,VIRMA,SNX18,H2AJ,APPL1,AUH,CLGN,CLINT1,CLIC5,LONP1,CBFB,STOM,ARB2A,BMPER,DNAJC2,DNAJC1,CD109,RNF7,NUP93,ARRB1,RALY,CDH17,RANGAP1,RBM25,PYM1,HUWE1,PRPF8,ISG15,RPRD1B,GOLGA3,HK2,SMURF1,CHLSN,PEG3,USP4,PPP1R11,ICOSLG,SBSN,NUP98,FAT2,ADAMTSL2,NISCH,GLMN,MMP13,RAD1,TGM3,TRIOBP,MAP7D2,HLA-A,DCTD,ACSBG1,AP2A1,KIF18B,WASHC4,ADAMTS7,KIF2B,MAPDA,TCEA1,UBE2S,EIF5B,CHD1,MBD5,MAP2K1,ANGPTL4,BICD2,GMPPB,SUCLG1,HEG1,MYH14,MAP7,DSC1,PTPRS,TIGAR,CTSS,CELSR2,HPDL,HEXIM1,ANGPTL2,CHD4,BROX,COL6A5,MCM3,IDUA,JAM3,PDGFRL,AKT1,MECP2,NRP2,C15orf40,BSG,MAPK15,DPP4,EPRS1,UBR4,LARP1,CTSF,GRIK4,ACOX1,MOB1A,SFRP2,TP53BP1,DDX5,USP24,GCN1,PALM2AKAP2,SP4,DRAP1,LMAN2L,TEP1,DYNC1I2,RCC1,JPT1,SF3B6,MYH10,MON2,MMUT,SEMA3A,MAT2B,SUCLG2,STX4,PLA2R1,PSD	144	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	oral squamous cell carcinoma	Oral squamous cell carcinoma	1.44E-05	 	 	 	 	EIF4EBP2,CBFB,TJP1,MECP2,LRRFIP1,MBD5,MOB1B,SMARCC1,ACAD10,HEG1,DPP4,MYH14,ANKK1,UBR4,MAP7,B3GNT7,HUWE1,ISG15,MOB1A,MLST8,ADAM12,LRP6,FAM120A,GOLGA3,DDX5,GCN1,PEG3,PTPRS,CELSR2,ICOSLG,SBSN,CTHRC1,PDLIM5,FAT2,RIGI,MAP1LC3A,BTF3L4,BOC,GCAT,MASP1,HLA-A,CHD4,AVP,SEMA3A,COL6A5,LONP1,IDUA,CHMP5	48	
Organismal Injury and Abnormalities, Renal and Urological Disease	renal lesion	Renal lesion	1.45E-05	 	 	 	 	CTSK,TNFRSF1A,CHD1,FAM169A,MAP2K1,ANGPTL4,PLG,SMC3,HEG1,RPL9,POLE3,MLST8,GTF2E1,CTSS,CELSR2,CPXM1,MME,CTHRC1,CTNNB1,ADAM19,RIGI,OTUD6B,SDHAF2,NDUFA2,PHYHD1,VIRMA,DIS3,TNPO3,CHD4,LONP1,CIAPIN1,JAM3,EHD2,QPRT,APRT,CBFB,TJP1,AKT1,NDUFV3,COA4,SMARCC1,BSG,GSTT1,UBR4,GRIK4,ACOX1,RPL38,RGMB,SFRP2,TP53BP1,DDX5,AMBP,GCN1,HK2,PALM2AKAP2,SMURF1,ASNS,SCG3,LMAN2L,RCC1,SBSN,FAT2,MMP13,GCAT,SRCIN1,TRIOBP,MMUT,HLA-A,ACAT1,ADAMTS7,MAPDA,NCKAP1	72	
Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatic lesion	Pancreatic lesion	1.55E-05	 	 	 	 	AKAP13,PRMT5,MRRF,ADD1,ITGAV,CTSK,TNFRSF1A,CHD1,GET4,GALNT2,MAP2K1,GMPPB,PLG,KIRREL2,SPIRE2,RIMOC1,MYH14,CSRP2,NCBP2,ISCU,CKM,NDRG3,SH3BGR,ADAM12,C8orf82,PTPRS,TIGAR,CTSS,NAA10,MYO10,CELSR2,CTHRC1,CTNNB1,GLB1L3,ACTBL2,OTUD6B,WASL,BOC,MTUS1,VIRMA,SNX18,APPL1,DIS3,COL6A5,LONP1,IDUA,DNAAF11,TJP1,AKT1,NRP2,LRRFIP1,FHL1,CD109,SMARCC1,RNF7,NUP93,RALY,DPP4,UBR4,HUWE1,TP53BP1,DDX5,RPL31,USP24,HK2,DDI2,SMURF1,RBSN,ASNS,PEG3,ARPP19,SP4,TEP1,DYNC1I2,BTF3,NUP98,FAT2,YPEL5,MMP13,POFUT4,TRIOBP,MIF4GD,MMUT,DCTD,SEMA3A,CMC4,Reg3b,ADAMTS7,PCCB,STX4,DNAJC7,KIF2B,NCKAP1	93	
Digestive System Development and Function, Hepatic System Development and Function, Organ Morphology, Organismal Development	color	Color of liver	1.59E-05	 	 	 	 	TCEA1,CBFB,BAG3,ACOX1,IDUA,PLG	6	
Cellular Movement	invasion	Invasion of tumor cell lines	1.60E-05	 	 	 	 	UBE2S,EIF5B,DBNL,PRMT5,ITGAV,CTSK,CHD1,FAM169A,GALNT2,MAP2K1,ANGPTL4,PLG,MYH14,HMGB3,MLST8,ADAM12,SCIN,FAM120A,SRSF10,CTSS,NAA10,BAG3,CTHRC1,CTNNB1,HEXIM1,RIGI,OTUD6B,MTUS1,VIRMA,COL6A5,UBQLN1,JAM3,EHD2,FHIT,TJP1,AKT1,NRP2,FHL1,DNAJC1,SMARCC1,RNF7,RALY,BSG,DPP4,CDH17,RANGAP1,LARP1,ISG15,RPRD1B,NPM3,SFRP2,BRCC3,HK2,SMURF1,ASNS,USP4,ARPP19,RAB5A,MMP13,VTN,UBE2L6,ACAT1,KIF18B,PDGFA,STX4,NCKAP1	66	
Cellular Assembly and Organization	development	Development of cytoplasm	1.63E-05	 	 	 	 	EIF5B,DBNL,AKAP13,FHIT,ADD1,TJP1,AKT1,MAP2K1,SPIRE2,ARRB1,ULK1,WIPI2,MLST8,MYOC,PALM2AKAP2,BAG3,RAB5A,MAP1LC3A,WASL,GNG5,APPL1,VTN,AVP,UBQLN1,LONP1,NCKAP1	26	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	neuritogenesis	Neuritogenesis	1.66E-05	 	 	 	 	EIF4EBP2,DBNL,TMEM106B,AKT1,MECP2,NRP2,MAP2K1,PLG,ULK1,MAP7,AFG3L2,CKM,SFRP2,LRP6,MOB2,MYOC,SMURF1,PTPRS,MAPK9,SP4,MYO10,CELSR2,DYNC1I2,CTNNB1,PDLIM5,MYH10,WASL,BOC,SRCIN1,MAP7D2,HLA-A,SEMA3A,AP2A1,PSD	34	
Embryonic Development, Organismal Development	duplication	Duplication of dorsal-ventral axis	1.70E-05	 	 	 	 	CTNNB1,BMPER,LRP6	3	
Organismal Injury and Abnormalities	chronic disease	Chronic disease	1.72E-05	 	 	 	 	DBNL,AKAP13,PRMT5,ITGAV,TNFRSF1A,PMM2,RPL23,ECHDC1,MAP2K1,PLG,SUCLG1,ACAD10,SPIRE2,POLE3,CSRP2,CKM,HMGB3,ADAM12,DSC1,MYOC,RPL19,MAPK9,CTSS,BAG3,MME,CTHRC1,CTNNB1,CPOX,TGM1,ADAM19,RIGI,ANGPTL7,ANGPTL2,BOC,MTUS1,SUOX,SNX18,GNG5,TNPO3,GTF2F2,COL6A5,CLIC5,LONP1,JAM3,DNAAF11,PDGFRL,EHD2,QPRT,APRT,EPS15,CBFB,STOM,CRYZL1,FHIT,TJP1,AKT1,MECP2,NRP2,BMPER,MOB1B,ARRB1,C15orf40,GSTT1,H2-Q8,DPP4,EIF4E2,DUSP23,GRIK4,TPK1,HUWE1,SFRP2,DDX5,RPL31,HK2,PALM2AKAP2,RPL18A,Serpina3n (includes others),ICOSLG,NUP98,SF3B6,RAB5A,MYH10,MMP13,EEF1AKMT2,TGM3,MASP1,GSTZ1,MMUT,HLA-A,UBE2L6,Ccl9,SEMA3A,Reg3b,ADAMTS7,PDGFA,PLA2R1	96	
